naics4,cust_int,cust_int_indirect,total_linkage,cons_share,naics4_title
1111,0.3381432314925149,0.33470392883886235,112764.0,0.027109214368401954,Oilseed and Grain Farming
1112,0.3381432314925149,0.3226788649487503,2696.0,0.9217308477343856,Vegetable and Melon Farming
1113,0.3381432314925149,0.35984202804225346,23119.0,0.6007930810515161,Fruit and Tree Nut Farming
1119,0.3381432314925149,0.35200004798355533,26874.0,0.22748160469115616,Other Crop Farming
1133,0.3636660817535963,0.29677374530454675,26417.0,0.0,Logging
1151,0.3381432314925149,0.35357376178273436,25870.0,0.009456182888811915,Support Activities for Crop Production
1152,0.5118564847197777,0.35357376178273436,25870.0,0.009456182888811915,Support Activities for Animal Production
2111,0.36415341790637695,0.31030040707235695,647308.0,0.0,Oil and Gas Extraction
2121,0.38432766441087196,0.3600844752615212,37620.0,0.002504372714262999,Coal Mining
2122,0.3389077447439353,0.31754522172043353,22532.0,0.0,Metal Ore Mining
2123,0.42514563547453504,0.4060155356574756,35936.0,0.0033350230783597023,Nonmetallic Mineral Mining and Quarrying
2131,0.3727664251761142,0.3669335220905409,15847.0,0.0,Support Activities for Mining
2211,0.4254461008008262,0.45245111238558394,258043.0,0.3809148246582183,"Electric Power Generation, Transmission and Distribution"
2212,0.41826789269758663,0.41620361321633653,39416.0,0.4737235953134354,Natural Gas Distribution
2213,0.49287343800276956,0.43128495984272325,26943.0,0.5058673172998722,"Water, Sewage and Other Systems"
2361,0.4693721515692776,0.4785138238562597,112081.0,0.0,Residential Building Construction
2362,0.4557655579779794,0.4785138238562597,112081.0,0.0,Nonresidential Building Construction
2371,0.518615622823666,0.4785138238562597,112081.0,0.0,Utility System Construction
2372,0.5232813734439111,0.4785138238562597,112081.0,0.0,Land Subdivision
2373,0.5188029367347116,0.4785138238562597,112081.0,0.0,"Highway, Street, and Bridge Construction"
2379,0.4967623165793953,0.4785138238562597,112081.0,0.0,Other Heavy and Civil Engineering Construction
2381,0.42978795139014375,0.4785138238562597,112081.0,0.0,"Foundation, Structure, and Building Exterior Contractors"
2382,0.5170436987417002,0.4785138238562597,112081.0,0.0,Building Equipment Contractors
2383,0.44168604166663694,0.4785138238562597,112081.0,0.0,Building Finishing Contractors
2389,0.5145142786714187,0.4785138238562597,112081.0,0.0,Other Specialty Trade Contractors
3111,0.36528153896209037,0.3781957427772421,51904.0,0.38272535601126045,Animal Food Manufacturing
3112,0.3146394517070586,0.37088282615600565,91745.0,0.2672248784983419,Grain and Oilseed Milling
3113,0.3701729538438559,0.3711118911594958,18295.0,0.655196034249662,Sugar and Confectionery Product Manufacturing
3114,0.30853523041429687,0.3220475725410478,17474.0,0.7637474164218253,Fruit and Vegetable Preserving and Specialty Food Manufacturing
3115,0.34329700550583,0.3376327430942281,50729.0,0.5524535556012091,Dairy Product Manufacturing
3116,0.3182221185238692,0.3312669364038031,79760.0,0.6150452807405916,Animal Slaughtering and Processing
3117,0.3327288814884415,0.2964301005920896,7481.0,0.4539219888555508,Seafood Product Preparation and Packaging
3118,0.4255659041049058,0.31648064171247725,8201.0,0.9057837902796615,Bakeries and Tortilla Manufacturing
3119,0.3569010544157248,0.34381543897481526,38076.0,0.6962317701806555,Other Food Manufacturing
3121,0.48043027317388093,0.2981050898902328,41987.0,0.7999256195754939,Beverage Manufacturing
3122,0.309160103266294,0.30922911573533624,1948.0,0.9608188199122115,Tobacco Manufacturing
3131,0.20035167348008198,0.28705205654395394,4424.0,0.065,"Fiber, Yarn, and Thread Mills"
3132,0.22967379833411342,0.33369849781880034,14516.0,0.18965242769965507,Fabric Mills
3133,0.3087288380899195,0.3420646756788942,10304.0,0.08617077003666841,Textile and Fabric Finishing and Fabric Coating Mills
3141,0.2682448883104653,0.44305396177487893,11467.0,0.779276866999499,Textile Furnishings Mills
3149,0.2970160562169401,0.5194890417091376,15067.0,0.40387861251765356,Other Textile Product Mills
3151,0.23340292096806495,0.5020588061330503,5997.0,0.9676483351598644,Apparel Knitting Mills
3152,0.2972677731387384,0.5020588061330503,5997.0,0.9676483351598644,Cut and Sew Apparel Manufacturing
3159,0.2591685845520353,0.5020588061330503,5997.0,0.9676483351598644,Apparel Accessories and Other Apparel Manufacturing
3161,0.2892359992843085,0.3519345459949629,8778.0,0.9119136499117401,Leather and Hide Tanning and Finishing
3162,0.3008885228039887,0.3519345459949629,8778.0,0.9119136499117401,Footwear Manufacturing
3169,0.3176565182461211,0.3519345459949629,8778.0,0.9119136499117401,Other Leather and Allied Product Manufacturing
3211,0.2965809753753291,0.35113607414087583,32979.0,0.0,Sawmills and Wood Preservation
3212,0.2649476015911654,0.40860998130100784,24659.0,0.0,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
3219,0.2980597910445966,0.45113843568326895,40594.0,0.1628531941031941,Other Wood Product Manufacturing
3221,0.27275848212895093,0.3697414933824683,76113.0,0.20538150073227465,"Pulp, Paper, and Paperboard Mills"
3222,0.3083060788279186,0.3856634256673536,89195.0,0.1902457491811104,Converted Paper Product Manufacturing
3231,0.4146314282449456,0.5080800558976912,58309.0,0.13679475431685925,Printing and Related Support Activities
3241,0.3011535834280571,0.46946467933051594,428636.0,0.41028656502934246,Petroleum and Coal Products Manufacturing
3251,0.2813992036257371,0.31489535343516056,297884.0,0.004937090884907829,Basic Chemical Manufacturing
3252,0.2813992036257371,0.26793752129694853,103628.0,0.0,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing"
3253,0.2813992036257371,0.3585179524670264,61421.0,0.06674897119341563,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
3254,0.30477106326979453,0.4933559124315168,102047.0,0.7700261398669124,Pharmaceutical and Medicine Manufacturing
3255,0.3196188922606228,0.34804487409567186,34695.0,0.13054811205846528,"Paint, Coating, and Adhesive Manufacturing"
3256,0.3196188922606228,0.447130819736096,23305.0,0.7861278281404739,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
3259,0.2813992036257371,0.38048950351870875,45043.0,0.07331222695838271,Other Chemical Product and Preparation Manufacturing
3261,0.25322916631007103,0.39459010772230996,202664.0,0.11216323512731215,Plastics Product Manufacturing
3262,0.28272864491057703,0.35300519008337927,43459.0,0.40437118879430056,Rubber Product Manufacturing
3271,0.3807955755995097,0.4559721783586372,14158.0,0.22660151425656447,Clay Product and Refractory Manufacturing
3272,0.3807955755995097,0.3875326569344431,29437.0,0.17156232034821647,Glass and Glass Product Manufacturing
3273,0.3807955755995097,0.46161984901530595,55324.0,0.0008982553117982381,Cement and Concrete Product Manufacturing
3274,0.3807955755995097,0.3878074488339489,7326.0,0.004417879417879418,Lime and Gypsum Product Manufacturing
3279,0.3807955755995097,0.3783309063141658,26677.0,0.1600903927923642,Other Nonmetallic Mineral Product Manufacturing
3311,0.26526176277373037,0.2824724400806743,169598.0,0.0,Iron and Steel Mills and Ferroalloy Manufacturing
3312,0.277344294023413,0.3320989107424734,14317.0,0.04802979807880808,Steel Product Manufacturing from Purchased Steel
3313,0.26483904944081704,0.30279993341125355,46934.0,0.0,Alumina and Aluminum Production and Processing
3314,0.2667502256727358,0.2809279267894045,84916.0,0.0005501000713959667,Nonferrous Metal (except Aluminum) Production and Processing
3315,0.2206716403626107,0.26016837713833385,34585.0,0.00161527589489169,Foundries
3321,0.2676433563457501,0.28234892884280066,38605.0,0.020663635000749588,Forging and Stamping
3322,0.2676433563457501,0.3996266068129011,9994.0,0.5217391304347826,Cutlery and Handtool Manufacturing
3323,0.29150668629329307,0.41296814056070635,89943.0,0.002452754756939567,Architectural and Structural Metals Manufacturing
3324,0.29150668629329307,0.361090153867343,27874.0,0.007000611703935295,"Boiler, Tank, and Shipping Container Manufacturing"
3325,0.2676433563457501,0.3910625481471481,16293.0,0.0846572480897147,Hardware Manufacturing
3326,0.2676433563457501,0.32064024588806456,7206.0,0.02454315059357076,Spring and Wire Product Manufacturing
3327,0.23549120520079303,0.3060001777018719,73123.0,0.008530271734756834,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
3328,0.2723857826443088,0.3399530627614868,27760.0,0.0,"Coating, Engraving, Heat Treating, and Allied Activities"
3329,0.2676433563457501,0.37242109445262933,83143.0,0.15219966237957117,Other Fabricated Metal Product Manufacturing
3331,0.27989990812763826,0.3958576228589374,20331.0,0.07552495402642946,"Agriculture, Construction, and Mining Machinery Manufacturing"
3332,0.27989990812763826,0.34521436348921086,7779.0,0.03900751520935226,Industrial Machinery Manufacturing
3333,0.2967362798231897,0.44612593704912107,13762.0,0.15425684597278833,Commercial and Service Industry Machinery Manufacturing
3334,0.27989990812763826,0.4093562559457933,45743.0,0.09288785722439971,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
3335,0.23828892703314308,0.3087327389300896,12790.0,0.01541749351244085,Metalworking Machinery Manufacturing
3336,0.24785302148547983,0.284066526893118,49787.0,0.011240779048436829,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
3339,0.27989990812763826,0.35520970878891256,46805.0,0.11207023485238901,Other General Purpose Machinery Manufacturing
3341,0.25962801428772175,0.43364187387125547,16909.0,0.7450340286615393,Computer and Peripheral Equipment Manufacturing
3342,0.28741705107262533,0.4129754412840745,40751.0,0.3184804224096551,Communications Equipment Manufacturing
3343,0.31993884192178607,0.2808896442092676,5216.0,0.900886292863592,Audio and Video Equipment Manufacturing
3344,0.25644592624130136,0.3330019967593766,105931.0,0.00853804397828687,Semiconductor and Other Electronic Component Manufacturing
3345,0.27403859404583747,0.38750992317553695,35396.0,0.30290164846426376,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
3346,0.35723972284565314,0.5300250106291121,3335.0,0.05113202747392521,Manufacturing and Reproducing Magnetic and Optical Media
3351,0.3113467470635041,0.46738750032980175,19801.0,0.26595147508264205,Electric Lighting Equipment Manufacturing
3352,0.281879769844418,0.4617513716659692,9670.0,0.8375060788489594,Household Appliance Manufacturing
3353,0.2746960735769087,0.33139440062640513,38249.0,0.01190648348999759,Electrical Equipment Manufacturing
3359,0.27660591994151534,0.38601333632232193,51810.0,0.23730696905806598,Other Electrical Equipment and Component Manufacturing
3361,0.21535966386044456,0.2654916762284076,5494.0,0.9772350481280776,Motor Vehicle Manufacturing
3362,0.26335761240379185,0.2598591392375801,8260.0,0.5904743218717811,Motor Vehicle Body and Trailer Manufacturing
3363,0.2349760675852253,0.31057451728627955,280373.0,0.08389613487151806,Motor Vehicle Parts Manufacturing
3364,0.24562015080378904,0.25848187067255796,62246.0,0.008468595624558928,Aerospace Product and Parts Manufacturing
3365,0.25463240075864296,0.29901792379101344,4762.0,0.0,Railroad Rolling Stock Manufacturing
3366,0.30794116834213675,0.39010665207403805,2155.0,0.5215646208859374,Ship and Boat Building
3369,0.2672747719900249,0.29094233468921965,3698.0,0.82125328659071,Other Transportation Equipment Manufacturing
3371,0.3656551740758058,0.4499283808971848,15075.0,0.7399101087615366,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
3372,0.3656551740758058,0.47821165930216913,12810.0,0.09559613319011816,Office Furniture (including Fixtures) Manufacturing
3379,0.31369408615196,0.3316398391810908,714.0,0.9729072462666717,Other Furniture Related Product Manufacturing
3391,0.3065828078940855,0.6235348526558941,54431.0,0.42678102141305274,Medical Equipment and Supplies Manufacturing
3399,0.3218280381661117,0.4274983626731065,29309.0,0.8448167959085886,Other Miscellaneous Manufacturing
4231,0.5139709699371869,0.30408689037325093,545.0,0.0,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
4232,0.5087336059141019,0.3607042615738186,4463.0,0.0,Furniture and Home Furnishing Merchant Wholesalers
4233,0.5087336059141019,0.3607042615738186,4463.0,0.0,Lumber and Other Construction Materials Merchant Wholesalers
4234,0.48884841589221945,0.4443457859907889,9736.0,0.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers
4235,0.5087336059141019,0.3607042615738186,4463.0,0.0,Metal and Mineral (except Petroleum) Merchant Wholesalers
4236,0.5087336059141019,0.4397075034138335,4607.0,0.0,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers
4237,0.5087336059141019,0.3607042615738186,4463.0,0.0,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
4238,0.5034111638123584,0.3362156115243616,2751.0,0.0,"Machinery, Equipment, and Supplies Merchant Wholesalers"
4239,0.5087336059141019,0.3607042615738186,4463.0,0.0,Miscellaneous Durable Goods Merchant Wholesalers
4241,0.5344696289985675,0.3929195695786654,6405.0,0.0,Paper and Paper Product Merchant Wholesalers
4242,0.501923203545238,0.4962919771474399,14746.0,0.0,Drugs and Druggists' Sundries Merchant Wholesalers
4243,0.5171248110087557,0.3929195695786654,6405.0,0.0,"Apparel, Piece Goods, and Notions Merchant Wholesalers"
4244,0.5415437365226009,0.4298725636934964,5316.0,0.0,Grocery and Related Product Merchant Wholesalers
4245,0.48522604769829625,0.3929195695786654,6405.0,0.0,Farm Product Raw Material Merchant Wholesalers
4246,0.501923203545238,0.3929195695786654,6405.0,0.0,Chemical and Allied Products Merchant Wholesalers
4247,0.5344696289985675,0.3823353851895485,123.0,0.0,Petroleum and Petroleum Products Merchant Wholesalers
4248,0.5415437365226009,0.3929195695786654,6405.0,0.0,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers"
4249,0.5344696289985675,0.3929195695786654,6405.0,0.0,Miscellaneous Nondurable Goods Merchant Wholesalers
4251,0.5349599749916432,0.5027378119123824,28134.0,0.0,Wholesale Electronic Markets and Agents and Brokers
4411,0.6325952583182725,0.0,0.0,1.0,Automobile Dealers
4412,0.6405650452958344,0.0,0.0,1.0,Other Motor Vehicle Dealers
4413,0.6674017368920743,0.0,0.0,1.0,"Automotive Parts, Accessories, and Tire Stores"
4421,0.7054620837977812,0.0,0.0,1.0,Furniture Stores
4422,0.7531968236647808,0.0,0.0,1.0,Home Furnishings Stores
4431,0.7519163163700421,0.0,0.0,1.0,Electronics and Appliance Stores
4441,0.7334650056706898,0.0,0.0,1.0,Building Material and Supplies Dealers
4442,0.6738118159555326,0.0,0.0,1.0,Lawn and Garden Equipment and Supplies Stores
4451,0.6838582628398031,0.0,0.0,1.0,Grocery Stores
4452,0.6838582628398031,0.0,0.0,1.0,Specialty Food Stores
4453,0.8091398512972506,0.0,0.0,1.0,"Beer, Wine, and Liquor Stores"
4461,0.7852296215394783,0.0,0.0,1.0,Health and Personal Care Stores
4471,0.7947962502785826,0.0,0.0,1.0,Gasoline Stations
4481,0.8580842869992501,0.0,0.0,1.0,Clothing Stores
4482,0.871824404472954,0.0,0.0,1.0,Shoe Stores
